eventid,snowroutesegmentid,first_serviced_at,storm_start,hours_to_first_service
0a32db57-33a3-4ca1-a17c-072ff6e34d8f,SNW-3307,2025-11-05 14:36:43+00:00,2025-12-26 19:01:45.962242+00:00,-1228.4174895116666
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-1,2025-12-22 10:26:12+00:00,2025-12-26 19:01:45.962242+00:00,-104.59276728944444
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-10,2025-12-23 09:43:11+00:00,2025-12-26 19:01:45.962242+00:00,-81.30971173388889
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-100,2025-12-22 04:42:25+00:00,2025-12-26 19:01:45.962242+00:00,-110.32248951166666
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-1000,2025-12-22 15:43:30+00:00,2025-12-26 19:01:45.962242+00:00,-99.30443395611111
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-1001,2025-12-22 16:36:17+00:00,2025-12-26 19:01:45.962242+00:00,-98.42471173388888
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-1002,2025-12-22 16:40:57+00:00,2025-12-26 19:01:45.962242+00:00,-98.3469339561111
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-1003,2025-12-22 16:42:20+00:00,2025-12-26 19:01:45.962242+00:00,-98.32387840055554
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-1004,2025-12-22 15:42:09+00:00,2025-12-26 19:01:45.962242+00:00,-99.3269339561111
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-1005,2025-12-22 13:43:57+00:00,2025-12-26 19:01:45.962242+00:00,-101.2969339561111
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-1006,2025-12-22 14:05:46+00:00,2025-12-26 19:01:45.962242+00:00,-100.93332284499999
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-1007,2025-12-22 14:03:36+00:00,2025-12-26 19:01:45.962242+00:00,-100.9694339561111
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-1008,2025-12-23 09:28:04+00:00,2025-12-26 19:01:45.962242+00:00,-81.56165617833332
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-101,2025-12-23 09:45:18+00:00,2025-12-26 19:01:45.962242+00:00,-81.27443395611111
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-1010,2025-12-22 15:06:47+00:00,2025-12-26 19:01:45.962242+00:00,-99.91637840055554
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-1011,2025-12-23 09:49:48+00:00,2025-12-26 19:01:45.962242+00:00,-81.19943395611111
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-1012,2025-12-23 10:03:44+00:00,2025-12-26 19:01:45.962242+00:00,-80.96721173388889
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-1013,2025-12-23 10:22:47+00:00,2025-12-26 19:01:45.962242+00:00,-80.64971173388888
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-1014,2025-12-22 10:09:59+00:00,2025-12-26 19:01:45.962242+00:00,-104.86304506722222
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-1016,2025-12-22 13:50:12+00:00,2025-12-26 19:01:45.962242+00:00,-101.19276728944443
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-1017,2025-12-22 13:23:58+00:00,2025-12-26 19:01:45.962242+00:00,-101.62998951166666
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-1018,2025-12-22 14:17:37+00:00,2025-12-26 19:01:45.962242+00:00,-100.735822845
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-1019,2025-12-22 14:17:25+00:00,2025-12-26 19:01:45.962242+00:00,-100.73915617833333
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-102,2025-12-23 09:35:49+00:00,2025-12-26 19:01:45.962242+00:00,-81.43248951166666
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-1020,2025-12-22 13:51:45+00:00,2025-12-26 19:01:45.962242+00:00,-101.16693395611111
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-1021,2025-12-22 14:07:14+00:00,2025-12-26 19:01:45.962242+00:00,-100.90887840055555
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-1022,2025-12-22 14:05:24+00:00,2025-12-26 19:01:45.962242+00:00,-100.9394339561111
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-1024,2025-12-22 16:30:44+00:00,2025-12-26 19:01:45.962242+00:00,-98.51721173388889
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-1025,2025-12-22 14:52:55+00:00,2025-12-26 19:01:45.962242+00:00,-100.14748951166666
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-1026,2025-12-22 16:30:16+00:00,2025-12-26 19:01:45.962242+00:00,-98.52498951166666
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-1027,2025-12-22 16:27:39+00:00,2025-12-26 19:01:45.962242+00:00,-98.56860062277777
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-1029,2025-12-22 10:17:18+00:00,2025-12-26 19:01:45.962242+00:00,-104.74110062277778
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-103,2025-12-22 15:55:53+00:00,2025-12-26 19:01:45.962242+00:00,-99.09804506722222
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-1030,2025-12-22 15:14:47+00:00,2025-12-26 19:01:45.962242+00:00,-99.78304506722222
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-1031,2025-12-23 09:02:45+00:00,2025-12-26 19:01:45.962242+00:00,-81.98360062277777
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-1038,2025-12-23 09:31:46+00:00,2025-12-26 19:01:45.962242+00:00,-81.49998951166666
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-1039,2025-12-23 09:24:19+00:00,2025-12-26 19:01:45.962242+00:00,-81.62415617833332
