eventid,snowroutesegmentid,first_serviced_at,storm_start,hours_to_first_service,roadname,snowrouteid,routepriority,segmentlength
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-1969,2025-12-28 10:26:54+00:00,2025-12-26 19:01:45.962242+00:00,39.41889937722222,GENANT DR,Route 17,Priority 2,0.0984548389965144
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-1968,2025-12-28 10:14:36+00:00,2025-12-26 19:01:45.962242+00:00,39.21389937722222,SPENCER ST,Route 17,Priority 1,0.0204017205395168
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-1962,2025-12-28 10:13:29+00:00,2025-12-26 19:01:45.962242+00:00,39.195288266111106,SPENCER ST,Route 17,Priority 1,0.0105504928996397
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-1131,2025-12-28 09:52:09+00:00,2025-12-26 19:01:45.962242+00:00,38.83973271055555,BEACON RD,Route 2,Priority 2,0.0239821091406187
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-3749,2025-12-28 09:51:26+00:00,2025-12-26 19:01:45.962242+00:00,38.82778826611111,MARSHALL ST,Route 14,Priority 1,0.112270337127338
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-152,2025-12-28 09:05:55+00:00,2025-12-26 19:01:45.962242+00:00,38.069177155,GAIL BORDEN DR,Route 17,Priority 2,0.060447880725143
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-4282,2025-12-28 01:27:03+00:00,2025-12-26 19:01:45.962242+00:00,30.421399377222222,MONTGOMERY ST,Route 2,Priority 2,0.075231364894463
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-4609,2025-12-27 23:10:18+00:00,2025-12-26 19:01:45.962242+00:00,28.142232710555557,IVY RIDGE DR,Unknown,Priority 2,0.375189669733025
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-1181,2025-12-27 20:31:45+00:00,2025-12-26 19:01:45.962242+00:00,25.499732710555556,FARMERS MARKET PL,Route 2,Priority 2,0.235815861350655
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-3098,2025-12-27 18:27:51+00:00,2025-12-26 19:01:45.962242+00:00,23.434732710555558,BEARD PL,Unknown,Priority 2,0.105610214466713
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-4265,2025-12-27 02:12:17+00:00,2025-12-26 19:01:45.962242+00:00,7.175288266111111,FINEVIEW PL,Route 6,Priority 2,0.06541684124296
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-4711,2025-12-26 23:45:06+00:00,2025-12-26 19:01:45.962242+00:00,4.722232710555555,CHURCHILL AV,Unknown,Priority 2,0.0330122917335803
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-409,2025-12-26 18:47:36+00:00,2025-12-26 19:01:45.962242+00:00,-0.23610062277777777,CANAL ST,Route 2,Priority 2,0.635163589765583
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SNW-748,2025-12-26 18:40:33+00:00,2025-12-26 19:01:45.962242+00:00,-0.3536006227777778,DAKIN ST,Route 12,Priority 2,0.0591867212596063
