eventid,roadname,median_hours_to_first_service
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,GAIL BORDEN DR,38.069177155
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,IVY RIDGE DR,28.142232710555557
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,FARMERS MARKET PL,25.499732710555556
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,BEARD PL,23.434732710555558
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,DAKIN ST,-0.358322845
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,PEAT ST,-0.40318395611111113
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,S MIDLER AV,-0.7236006227777778
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,FINEVIEW PL,-49.82790617833333
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,W KIRKPATRICK ST,-49.90471173388889
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,BROWN ST,-49.94498951166667
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,MALTBIE ST,-52.75526728944445
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,EVANS ST,-52.779017289444454
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,BUTTERNUT ST,-62.588045067222225
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,CULBERT ST,-62.83860062277778
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,BUTTERNUT CIRCLE,-62.855822845000006
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,GRANT BLVD,-62.925545067222224
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,JAMES ST,-72.61943395611112
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,WAYNE ST,-72.64540617833333
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,BURNET AV,-72.71762840055555
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,N BEECH ST,-75.16012840055555
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,ERIE BLVD E,-80.10832284499999
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,OSWEGO BLVD,-80.16887840055556
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,ERIE BLVD W,-80.27498951166666
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,WEST END DR,-80.32971173388889
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,HICKOK AV,-80.50498951166666
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,WADSWORTH ST,-80.57526728944444
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,TYLER CT,-80.77165617833333
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SEVENTH NORTH ST,-80.77915617833332
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,S SALINA ST,-80.84637840055555
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,DEVINE ST,-80.85304506722221
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,ALMOND ST,-80.85832284499999
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,LEMOYNE AV,-80.89165617833332
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,ISABELLA ST,-80.89971173388888
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,TEALL AV,-80.91915617833332
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,W ADAMS ST,-80.92887840055555
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SYRACUSE ST,-80.94498951166666
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,N SALINA ST,-80.95054506722222
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,E ADAMS ST,-80.960822845
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,GALE AV,-80.96971173388889
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,HEADSON DR,-80.97248951166667
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,WALTON ST,-80.97498951166666
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,ONONDAGA AV,-81.003322845
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,W FAYETTE ST,-81.01915617833333
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,KIRKPATRICK ST,-81.02693395611111
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,MIDLAND AV,-81.03110062277777
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,S ALVORD ST,-81.03610062277777
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SHONNARD ST,-81.04110062277778
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,HARRISON ST,-81.05485062277776
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,ANNETTA ST,-81.07360062277778
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,PARK ST,-81.09110062277777
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,W JEFFERSON ST,-81.09110062277777
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,MERZ AV,-81.10054506722221
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,W COLVIN ST,-81.11637840055555
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SEELEY RD,-81.14040617833334
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,E FAYETTE ST,-81.15026728944444
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SOUTH AV,-81.17498951166667
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,MERRIMAN AV,-81.18304506722221
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,STOLP AV,-81.19971173388889
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,HASBROUCK ST,-81.21998951166665
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,S GEDDES ST,-81.22804506722221
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,POND ST,-81.23054506722221
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,HIAWATHA BLVD E,-81.23054506722222
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,W GENESEE ST,-81.25276728944444
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,WYOMING ST,-81.26554506722222
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,S CLINTON ST,-81.26665617833332
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,CEDAR ST,-81.29415617833332
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,HIAWATHA BLVD W,-81.2969339561111
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,FARMER ST,-81.29971173388888
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,OAK ST,-81.30221173388888
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,AVERY AV,-81.31526728944445
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,LEXINGTON AV,-81.32443395611111
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,S EDWARDS AV,-81.32971173388889
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,DEWITT ST,-81.335822845
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,MILTON AV,-81.35248951166666
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,WALLACE ST,-81.35443395611111
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,BRUCE ST,-81.36915617833333
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,S TOWNSEND ST,-81.39554506722222
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,EAST AV,-81.40026728944443
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,BELLEVUE AV,-81.40873951166665
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,N GEDDES ST,-81.42040617833334
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,OSTROM AV,-81.42248951166667
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,GRANGER ST,-81.42901728944443
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,MCCORMICK AV,-81.42915617833333
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,HURLBURT RD,-81.430822845
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,S AVERY AV,-81.43110062277778
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SUMMIT AV,-81.44123951166665
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,DANFORTH ST,-81.44748951166666
