snapshot_ts,OBJECTID,snowrouteid,snowroutesegmentid,roadname,routepriority,roadclass,segmentlength,servicestatus,lastserviced,lastserviceleft,lastserviceright,passes,passesleft,passesright,eventid,eventphaseid
2026-02-02T04:50:44.985216+00:00,15278,Route 8,SNW-549,E WILLOW ST,Priority 2,,0.0754160413103601,Not Serviced,1770005828000,1770005828000,1769853978000,142,60,82,a4276bc6-8fad-4452-aef4-f2f5a71b993f,a4276bc6-8fad-4452-aef4-f2f5a71b993f-1
2026-02-02T04:50:44.985216+00:00,15847,Route 36,SNW-2186,S WEST ST,Priority 1,,0.0321084560966201,Not Serviced,1770005906000,1761586259000,1770005906000,29,0,29,a4276bc6-8fad-4452-aef4-f2f5a71b993f,a4276bc6-8fad-4452-aef4-f2f5a71b993f-1
2026-02-02T04:50:44.985216+00:00,15959,Route 36,SNW-2218,S WEST ST,Priority 1,,0.0492746218062233,Not Serviced,1770005916000,1769789818000,1770005916000,44,7,37,a4276bc6-8fad-4452-aef4-f2f5a71b993f,a4276bc6-8fad-4452-aef4-f2f5a71b993f-1
2026-02-02T04:50:44.985216+00:00,16271,,SNW-2298,W FAYETTE ST,Priority 1,,0.101014265992069,Not Serviced,1770005927000,1769857167000,1770005927000,83,42,41,a4276bc6-8fad-4452-aef4-f2f5a71b993f,a4276bc6-8fad-4452-aef4-f2f5a71b993f-1
2026-02-02T04:50:44.985216+00:00,16360,,SNW-2324,W FAYETTE ST,Priority 1,,0.080102330340572,Not Serviced,1770005937000,1769857138000,1770005937000,84,41,43,a4276bc6-8fad-4452-aef4-f2f5a71b993f,a4276bc6-8fad-4452-aef4-f2f5a71b993f-1
2026-02-02T04:50:44.985216+00:00,16425,,SNW-2356,W FAYETTE ST,Priority 1,,0.0887759466314908,Not Serviced,1770005948000,1769857127000,1770005948000,86,45,41,a4276bc6-8fad-4452-aef4-f2f5a71b993f,a4276bc6-8fad-4452-aef4-f2f5a71b993f-1
2026-02-02T04:50:44.985216+00:00,16538,,SNW-2412,W FAYETTE ST,Priority 1,,0.0882022818652975,Not Serviced,1770005959000,1769851664000,1770005959000,85,42,43,a4276bc6-8fad-4452-aef4-f2f5a71b993f,a4276bc6-8fad-4452-aef4-f2f5a71b993f-1
2026-02-02T04:50:44.985216+00:00,16601,,SNW-2444,W FAYETTE ST,Priority 1,,0.0878253357318297,Not Serviced,1770005964000,1769857117000,1770005964000,79,38,41,a4276bc6-8fad-4452-aef4-f2f5a71b993f,a4276bc6-8fad-4452-aef4-f2f5a71b993f-1
2026-02-02T04:50:44.985216+00:00,17059,Route 19,SNW-2492,W FAYETTE ST,Priority 1,,0.195065728991699,Not Serviced,1770005996000,1769857107000,1770005996000,395,201,194,a4276bc6-8fad-4452-aef4-f2f5a71b993f,a4276bc6-8fad-4452-aef4-f2f5a71b993f-1
2026-02-02T04:50:44.985216+00:00,17169,Route 1,SNW-95,BURNET AV,Priority 1,,0.0644180950762357,Not Serviced,1770005639000,1769841856000,1770005639000,98,52,46,a4276bc6-8fad-4452-aef4-f2f5a71b993f,a4276bc6-8fad-4452-aef4-f2f5a71b993f-1
2026-02-02T04:50:44.985216+00:00,17186,Route 1,SNW-112,BURNET AV,Priority 1,,0.0648299444335623,Not Serviced,1770005618000,1769841873000,1770005618000,90,48,42,a4276bc6-8fad-4452-aef4-f2f5a71b993f,a4276bc6-8fad-4452-aef4-f2f5a71b993f-1
2026-02-02T04:50:44.985216+00:00,17216,Route 1,SNW-142,BURNET AV,Priority 1,,0.138309122644531,Not Serviced,1770005608000,1769841884000,1770005608000,111,57,54,a4276bc6-8fad-4452-aef4-f2f5a71b993f,a4276bc6-8fad-4452-aef4-f2f5a71b993f-1
2026-02-02T04:50:44.985216+00:00,17241,Route 1,SNW-167,BURNET AV,Priority 1,,0.0708683612573539,Not Serviced,1770005597000,1769841901000,1770005597000,102,54,48,a4276bc6-8fad-4452-aef4-f2f5a71b993f,a4276bc6-8fad-4452-aef4-f2f5a71b993f-1
2026-02-02T04:50:44.985216+00:00,17285,Route 1,SNW-211,BURNET AV,Priority 1,,0.0656736927313901,Not Serviced,1770005587000,1769847116000,1770005587000,122,64,58,a4276bc6-8fad-4452-aef4-f2f5a71b993f,a4276bc6-8fad-4452-aef4-f2f5a71b993f-1
2026-02-02T04:50:44.985216+00:00,17298,Route 1,SNW-224,BURNET AV,Priority 1,,0.0416036759110469,Not Serviced,1770005576000,1769847126000,1770005576000,427,268,159,a4276bc6-8fad-4452-aef4-f2f5a71b993f,a4276bc6-8fad-4452-aef4-f2f5a71b993f-1
